accession	package	ncbiBioProjectAccession	biosampleGoldId	studyGoldId	env_broad_scale	env_broad_scale_mixs	env_broad_scale_mixs_via_obsolescence	is_biome	env_local_scale	env_local_scale_mixs	env_local_scale_mixs_via_obsolescence	is_selected_abp	env_medium	env_medium_mixs	env_medium_mixs_via_obsolescence	is_env_mat
SAMEA7723388	Generic.1.0	PRJEB42019	Gb0315434	Gs0154244	urban biome	urban biome [ENVO:01000249]	False	True	anaerobic bioreactor	anaerobic bioreactor [ENVO:00002124]	False	False	anaerobic sludge	anaerobic sludge [ENVO:00002129]	False	True
SAMEA7723389	Generic.1.0	PRJEB42019	Gb0315435	Gs0154244	urban biome	urban biome [ENVO:01000249]	False	True	anaerobic bioreactor	anaerobic bioreactor [ENVO:00002124]	False	False	anaerobic sludge	anaerobic sludge [ENVO:00002129]	False	True
SAMEA7723390	Generic.1.0	PRJEB42019	Gb0315436	Gs0154244	urban biome	urban biome [ENVO:01000249]	False	True	anaerobic bioreactor	anaerobic bioreactor [ENVO:00002124]	False	False	anaerobic sludge	anaerobic sludge [ENVO:00002129]	False	True
SAMEA7723391	Generic.1.0	PRJEB42019	Gb0315437	Gs0154244	urban biome	urban biome [ENVO:01000249]	False	True	anaerobic bioreactor	anaerobic bioreactor [ENVO:00002124]	False	False	anaerobic sludge	anaerobic sludge [ENVO:00002129]	False	True
SAMEA7723392	Generic.1.0	PRJEB42019	Gb0315745	Gs0154244	Small lake biome		False	False	pond bed	pond bed [ENVO:00000512]	False	True	lake sediment	lake sediment [ENVO:00000546]	False	True
SAMEA7723393	Generic.1.0	PRJEB42019	Gb0315746	Gs0154244	Small lake biome		False	False	pond bed	pond bed [ENVO:00000512]	False	True	lake sediment	lake sediment [ENVO:00000546]	False	True
SAMEA7723394	Generic.1.0	PRJEB42019	Gb0315747	Gs0154244	Small lake biome		False	False	pond bed	pond bed [ENVO:00000512]	False	True	lake sediment	lake sediment [ENVO:00000546]	False	True
SAMEA7723395	Generic.1.0	PRJEB42019	Gb0315748	Gs0154244	Small lake biome		False	False	pond bed	pond bed [ENVO:00000512]	False	True	lake sediment	lake sediment [ENVO:00000546]	False	True
SAMEA7723396	Generic.1.0	PRJEB42019	Gb0315749	Gs0154244	Small lake biome		False	False	pond bed	pond bed [ENVO:00000512]	False	True	lake sediment	lake sediment [ENVO:00000546]	False	True
SAMEA7723397	Generic.1.0	PRJEB42019	Gb0315750	Gs0154244	Small lake biome		False	False	pond bed	pond bed [ENVO:00000512]	False	True	lake sediment	lake sediment [ENVO:00000546]	False	True
SAMEA7723398	Generic.1.0	PRJEB42019	Gb0315751	Gs0154244	Small lake biome		False	False	pond bed	pond bed [ENVO:00000512]	False	True	lake sediment	lake sediment [ENVO:00000546]	False	True
SAMEA7723399	Generic.1.0	PRJEB42019	Gb0297313	Gs0154244	marine salt marsh biome	marine salt marsh biome [ENVO:01000022]	False	True	marine benthic feature		False	False	marine sediment	marine sediment [ENVO:03000033]	False	True
SAMEA7723400	Generic.1.0	PRJEB42019	Gb0297314	Gs0154244	marine salt marsh biome	marine salt marsh biome [ENVO:01000022]	False	True	marine benthic feature		False	False	marine sediment	marine sediment [ENVO:03000033]	False	True
SAMEA7723401	Generic.1.0	PRJEB42019	Gb0297315	Gs0154244	marine salt marsh biome	marine salt marsh biome [ENVO:01000022]	False	True	marine benthic feature		False	False	marine sediment	marine sediment [ENVO:03000033]	False	True
SAMEA7723402	Generic.1.0	PRJEB42019	Gb0297316	Gs0154244	marine salt marsh biome	marine salt marsh biome [ENVO:01000022]	False	True	marine benthic feature		False	False	marine sediment	marine sediment [ENVO:03000033]	False	True
SAMEA7723403	Generic.1.0	PRJEB42019	Gb0297317	Gs0154244	marine salt marsh biome	marine salt marsh biome [ENVO:01000022]	False	True	marine benthic feature		False	False	marine sediment	marine sediment [ENVO:03000033]	False	True
SAMEA7723404	Generic.1.0	PRJEB42019	Gb0297318	Gs0154244	marine salt marsh biome	marine salt marsh biome [ENVO:01000022]	False	True	marine benthic feature		False	False	marine sediment	marine sediment [ENVO:03000033]	False	True
SAMEA7723405	Generic.1.0	PRJEB42019	Gb0297319	Gs0154244	marine salt marsh biome	marine salt marsh biome [ENVO:01000022]	False	True	marine benthic feature		False	False	marine sediment	marine sediment [ENVO:03000033]	False	True
